Command,Redirect From,Redirect To
DELETE,/dr-neubauer-gorilla.html,/products/dr-neubauer-gorilla
DELETE,/dr-neubauer-grizzly.html,/products/dr-neubauer-grizzly
DELETE,/dr-neubauer-allround-premium.html,/products/dr-neubauer-allround-premium
DELETE,/dr-neubauer-boomerang-classic.html,/products/dr-neubauer-boomerang-classic
DELETE,/dr-neubauer-desperado.html,/products/dr-neubauer-desperado
DELETE,/diamant.html,/products/diamant
DELETE,/dr-neubauer-fighter.html,/products/dr-neubauer-fighter
DELETE,/dr-neubauer-monster-classic.html,/products/dr-neubauer-monster-classic
DELETE,/dr-neubauer-number-1.html,/products/dr-neubauer-number-1
DELETE,/donic-waldner-senso-carbon.html,/products/donic-waldner-senso-carbon
DELETE,/donic-waldner-senso-ultra-carbon.html,/products/donic-waldner-senso-ultra-carbon
DELETE,/donic-waldner-dotec-ar.html,/products/donic-waldner-dotec-ar
DELETE,/donic-persson-dotec-off.html,/products/donic-persson-dotec-off
DELETE,/donic-waldner-dotec-carbon.html,/products/donic-waldner-dotec-carbon
DELETE,/donic-appelgren-dotec-control.html,/products/donic-appelgren-dotec-control
DELETE,/donic-wang-xi-dotec-control-plus.html,/products/donic-wang-xi-dotec-control-plus
DELETE,/donic-persson-power-carbon.html,/products/donic-persson-power-carbon
DELETE,/dr-neubauer-domination.html,/products/dr-neubauer-domination
DELETE,/special-defence-dr-neubauer.html,/products/special-defence-dr-neubauer
DELETE,/dr-neubauer-killer.html,/products/dr-neubauer-killer
DELETE,/dr-neubauer-leopard.html,/products/dr-neubauer-leopard
DELETE,/dr-neubauer-pistol.html,/products/dr-neubauer-pistol
DELETE,/dr-neubauer-terminator.html,/products/dr-neubauer-terminator
DELETE,/donic-waldner-black-devil-cb.html,/products/donic-waldner-black-devil-cb
DELETE,/dr-neubauer-tornado-ultra.html,/products/dr-neubauer-tornado-ultra
DELETE,/donic-waldner-dicon.html,/products/donic-waldner-dicon
DELETE,/donic-defplay-senso-v3.html,/products/donic-defplay-senso-v3
DELETE,/donic-defplay-classic-senso.html,/products/donic-defplay-classic-senso
DELETE,/donic-cayman.html,/products/donic-cayman
DELETE,/donic-alligator-combi.html,/products/donic-alligator-combi
DELETE,/donic-appelgren-allplay.html,/products/donic-appelgren-allplay
DELETE,/donic-appelgren-allplay-senso-v1.html,/products/donic-appelgren-allplay-senso-v1
DELETE,/donic-appelgren-allplay-senso-v2.html,/products/donic-appelgren-allplay-senso-v2
DELETE,/donic-waldner-senso-v1.html,/products/donic-waldner-senso-v1
DELETE,/donic-waldner-senso-v2.html,/products/donic-waldner-senso-v2
DELETE,/tibhar-aurus.html,/products/tibhar-aurus
DELETE,/joola-express-ultra.html,/products/joola-express-ultra
DELETE,/tibhar-aurus-soft.html,/products/tibhar-aurus-soft
DELETE,/tibhar-aurus-sound.html,/products/tibhar-aurus-sound
DELETE,/donic-waldner-allplay.html,/products/donic-waldner-allplay
DELETE,/donic-persson-power-ar.html,/products/donic-persson-power-ar
DELETE,/tibhar-ellen-def-off.html,/products/tibhar-ellen-def-off
DELETE,/donic-persson-power-ar-senso-v1.html,/products/donic-persson-power-ar-senso-v1
DELETE,/donic-persson-power-ar-senso-v2.html,/products/donic-persson-power-ar-senso-v2
DELETE,/tibhar-evolution-mx-p.html,/products/tibhar-evolution-mx-p
DELETE,/donic-persson-powerplay.html,/products/donic-persson-powerplay
DELETE,/tibhar-evolution-fx-p.html,/products/tibhar-evolution-fx-p
DELETE,/donic-persson-powerplay-senso-v1.html,/products/donic-persson-powerplay-senso-v1
DELETE,/tibhar-evolution-el-p.html,/products/tibhar-evolution-el-p
DELETE,/donic-persson-powerplay-senso-v2.html,/products/donic-persson-powerplay-senso-v2
DELETE,/donic-persson-youngstar.html,/products/donic-persson-youngstar
DELETE,/donic-waldner-youngstar.html,/products/donic-waldner-youngstar
DELETE,/tibhar-genius.html,/products/tibhar-genius
DELETE,/tibhar-grass.html,/products/tibhar-grass
DELETE,/tibhar-grass-dtecs.html,/products/tibhar-grass-dtecs
DELETE,/tibhar-grass-d-tecs.html,/products/tibhar-grass-dtecs
DELETE,/tibhar-learn-spin.html,/products/tibhar-learn-spin
DELETE,/tibhar-legend.html,/products/tibhar-legend
DELETE,/tibhar-nimbus.html,/products/tibhar-nimbus
DELETE,/tibhar-nimbus-soft.html,/products/tibhar-nimbus-soft
DELETE,/tibhar-nimbus-sound.html,/products/tibhar-nimbus-sound
DELETE,/tibhar-norm.html,/products/tibhar-norm
DELETE,/tibhar-rapid.html,/products/tibhar-rapid
DELETE,/tibhar-rapid-soft.html,/products/tibhar-rapid-soft
DELETE,/tibhar-sinus.html,/products/tibhar-sinus
DELETE,/tibhar-sinus-2120.html,/products/tibhar-sinus
DELETE,/tibhar-speedy-soft.html,/products/tibhar-speedy-soft
DELETE,/tibhar-speedy-soft-d-tecs.html,/products/tibhar-speedy-soft-d-tecs
DELETE,/tibhar-speedy-spin.html,/products/tibhar-speedy-spin
DELETE,/tibhar-super-defense-40.html,/products/tibhar-super-defense-40
DELETE,/tibhar-super-defense-40-soft.html,/products/tibhar-super-defense-40-soft
DELETE,/tibhar-vari-spin.html,/products/tibhar-vari-spin
DELETE,/tibhar-vari-spin-d-tecs.html,/products/tibhar-vari-spin-d-tecs
DELETE,/tibhar-volcano.html,/products/tibhar-volcano
DELETE,/tibhar-allround-classic.html,/products/tibhar-allround-classic
DELETE,/tibhar-black-carbon.html,/products/tibhar-black-carbon
DELETE,/tibhar-champ.html,/products/tibhar-champ
DELETE,/tibhar-chila-off.html,/products/tibhar-chila-off
DELETE,/tibhar-co-s-3.html,/products/tibhar-co-s-3
DELETE,/tibhar-defense-plus.html,/products/tibhar-defense-plus
DELETE,/tibhar-h-1-9.html,/products/tibhar-h-1-9
DELETE,/tibhar-nimbus-all.html,/products/tibhar-nimbus-all
DELETE,/tibhar-samsonov-carbon.html,/products/tibhar-samsonov-carbon
DELETE,/tibhar-samsonov-force-pro.html,/products/tibhar-samsonov-force-pro
DELETE,/tibhar-samsonov-premium-contact.html,/products/tibhar-samsonov-premium-contact
DELETE,/tibhar-samsonov-premium-junior.html,/products/tibhar-samsonov-premium-junior
DELETE,/tibhar-samsonov-premium-junior-2265.html,/products/tibhar-samsonov-premium-junior
DELETE,/tibhar-smash.html,/products/tibhar-smash
DELETE,/tibhar-samsonov-alpha.html,/products/tibhar-samsonov-alpha
DELETE,/tibhar-stratus-powerdefense.html,/products/tibhar-stratus-powerdefense
DELETE,/tibhar-stratus-powerwood.html,/products/tibhar-stratus-powerwood
DELETE,/tibhar-techno-power-contact.html,/products/tibhar-techno-power-contact
DELETE,/tibhar-triple-carbon.html,/products/tibhar-triple-carbon
DELETE,/tibhar-match.html,/products/tibhar-match
DELETE,/tibhar-rapid-carbon-light.html,/products/tibhar-rapid-carbon-light
DELETE,/tibhar-rapid-carbon-light-2318.html,/products/tibhar-rapid-carbon-light
DELETE,/donic-persson-exclusive-off.html,/products/donic-persson-exclusive-off
DELETE,/tibhar-samsonov-pure-wood.html,/products/tibhar-samsonov-pure-wood
DELETE,/tibhar-samsonov-start.html,/products/tibhar-samsonov-start
DELETE,/donic-waldner-exclusive-ar.html,/products/donic-waldner-exclusive-ar
DELETE,/tibhar-samsonov-stratus-carbon.html,/products/tibhar-samsonov-stratus-carbon
DELETE,/donic-appelgren-exclusive-ar.html,/products/donic-appelgren-exclusive-ar
DELETE,/donic-acuda-blue-p1.html,/products/donic-acuda-blue-p1
DELETE,/andro-backside-2-0-d.html,/products/andro-backside-2-0-d
DELETE,/andro-blowfish.html,/products/andro-blowfish
DELETE,/donic-desto-f1-plus.html,/products/donic-desto-f1-plus
DELETE,/andro-blowfish-2576.html,/products/andro-blowfish
DELETE,/andro-hexer.html,/products/andro-hexer
DELETE,/andro-hexer-2605.html,/products/andro-hexer
DELETE,/andro-hexer-dur.html,/products/andro-hexer-dur
DELETE,/andro-hexer-duro-2601.html,/products/andro-hexer-dur
